         551452 function calls (523216 primitive calls) in 0.370 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       52    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       52    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       47    0.000    0.000    0.003    0.000 typing.py:740(Optional)
       47    0.000    0.000    0.000    0.000 typing.py:487(__repr__)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       46    0.000    0.000    0.000    0.000 six.py:108(__init__)
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       44    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
    44/32    0.000    0.000    0.011    0.000 css_parser.py:579(parse_pseudo_class)
       44    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
       44    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       44    0.000    0.000    0.000    0.000 dataclasses.py:697(_is_kw_only)
       44    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
       44    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
       43    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
       43    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
       42    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       42    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
    42/41    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
       42    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
       42    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
       41    0.000    0.000    0.000    0.000 functools.py:65(wraps)
    40/31    0.000    0.000    0.011    0.000 css_parser.py:746(parse_pseudo_open)
       37    0.001    0.000    0.646    0.017 __init__.py:1(<module>)
       37    0.000    0.000    0.000    0.000 __init__.py:208(_checkLevel)
       36    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       36    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       36    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       36    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       35    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       35    0.000    0.000    0.000    0.000 inspect.py:3045(<genexpr>)
       35    0.000    0.000    0.000    0.000 _parser.py:166(__delitem__)
       35    0.000    0.000    0.000    0.000 __init__.py:179(sub)
       34    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       34    0.000    0.000    0.000    0.000 __init__.py:757(normalize)
