url: https://finance.yahoo.com/quote/MSFT/financials/?p=msft
Error check: 'NoneType' object has no attribute 'find'
end
('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         1192357 function calls (1161402 primitive calls) in 3.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
12490/12422    0.007    0.000    0.007    0.000 {method 'join' of 'str' objects}
    14148    0.005    0.000    0.007    0.000 _parser.py:158(__len__)
    18816    0.007    0.000    0.007    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.007    0.007 _htmlparser.py:1(<module>)
     3470    0.006    0.000    0.007    0.000 __init__.py:786(popTag)
        2    0.000    0.000    0.007    0.004 __init__.py:1001(version)
     4785    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      673    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.007    0.007 frames.py:1(<module>)
       48    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
      425    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
    31933    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.007    0.007 _typing.py:1(<module>)
        2    0.000    0.000    0.007    0.003 abc.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _models.py:1101(extract_cookies)
    25103    0.007    0.000    0.007    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.007    0.007 events.py:1(<module>)
        1    0.000    0.000    0.007    0.007 appdirs.py:1(<module>)
        1    0.000    0.000    0.007    0.007 initialise.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _multipart.py:1(<module>)
      186    0.003    0.000    0.006    0.000 _compiler.py:465(_get_charset_prefix)
        1    0.000    0.000    0.006    0.006 shutil.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _models.py:641(text)
     2844    0.003    0.000    0.006    0.000 typing.py:1290(__setattr__)
       48    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
     1852    0.006    0.000    0.006    0.000 __init__.py:906(_linkage_fixer)
     2544    0.005    0.000    0.006    0.000 __init__.py:91(_replace_charref)
      862    0.002    0.000    0.006    0.000 contextlib.py:287(helper)
      159    0.000    0.000    0.006    0.000 typing.py:1565(copy_with)
       19    0.002    0.000    0.006    0.000 enum.py:1657(convert_class)
      415    0.002    0.000    0.006    0.000 typing_extensions.py:3171(_collect_parameters)
    13600    0.006    0.000    0.006    0.000 filter.py:259(_base_match)
      814    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.006    0.006 ansitowin32.py:1(<module>)
       79    0.001    0.000    0.006    0.000 css_parser.py:472(parse_attribute_selector)
       12    0.000    0.000    0.005    0.000 enum.py:890(_convert_)
     7118    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
      425    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
      341    0.001    0.000    0.005    0.000 css_parser.py:1108(selector_iter)
      861    0.003    0.000    0.005    0.000 contextlib.py:141(__exit__)
     8736    0.004    0.000    0.005    0.000 _parser.py:170(append)
        1    0.000    0.000    0.005    0.005 _urls.py:1(<module>)
      126    0.000    0.000    0.005    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.005    0.005 socket.py:945(getaddrinfo)
        1    0.005    0.005    0.005    0.005 {built-in method _socket.getaddrinfo}
    10056    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
        6    0.000    0.000    0.005    0.001 parser.py:899(_compile)
        1    0.000    0.000    0.005    0.005 css_types.py:1(<module>)
     4907    0.002    0.000    0.005    0.000 {built-in method builtins.max}
     3185    0.002    0.000    0.005    0.000 _htmlparser.py:222(handle_data)
       58    0.004    0.000    0.004    0.000 {built-in method nt.listdir}
       35    0.001    0.000    0.004    0.000 enum.py:496(__new__)
      389    0.001    0.000    0.004    0.000 typing.py:1251(__init__)
  408/405    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      255    0.001    0.000    0.004    0.000 _state.py:275(process_event)
    11364    0.004    0.000    0.004    0.000 element.py:2771(descendants)
       56    0.000    0.000    0.004    0.000 typing.py:697(Optional)
        2    0.000    0.000    0.004    0.002 __init__.py:975(distribution)
        2    0.000    0.000    0.004    0.002 __init__.py:549(from_name)
       27    0.000    0.000    0.004    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
      862    0.003    0.000    0.004    0.000 contextlib.py:104(__init__)
    20588    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.004    0.004 staggered.py:1(<module>)
        1    0.000    0.000    0.004    0.004 appdirs.py:417(user_data_dir)
        1    0.000    0.000    0.004    0.004 appdirs.py:45(user_data_dir)
     5940    0.003    0.000    0.004    0.000 element.py:2168(get)
      496    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
    17629    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
        1    0.003    0.003    0.004    0.004 appdirs.py:506(_get_win_folder_with_ctypes)
       18    0.000    0.000    0.004    0.000 __init__.py:914(<genexpr>)
        1    0.000    0.000    0.004    0.004 filepost.py:1(<module>)
        1    0.000    0.000    0.004    0.004 decoder.py:1(<module>)
       16    0.000    0.000    0.004    0.000 __init__.py:812(search)
        2    0.000    0.000    0.004    0.002 readers.py:1(<module>)
       29    0.000    0.000    0.004    0.000 dataclasses.py:1202(dataclass)
        1    0.000    0.000    0.004    0.004 _urlparse.py:1(<module>)
        5    0.000    0.000    0.004    0.001 six.py:95(__get__)
        2    0.000    0.000    0.004    0.002 core.py:21(where)
        2    0.000    0.000    0.004    0.002 core.py:1(<module>)
     3131    0.002    0.000    0.004    0.000 typing.py:1238(_is_dunder)
      532    0.000    0.000    0.004    0.000 typing.py:689(<genexpr>)
       56    0.000    0.000    0.004    0.000 css_parser.py:1106(<listcomp>)
     2662    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
        4    0.000    0.000    0.003    0.001 <frozen codecs>:319(decode)
      407    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        1    0.000    0.000    0.003    0.003 cookiejar.py:1680(extract_cookies)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
    16177    0.003    0.000    0.003    0.000 {built-in method builtins.min}
        4    0.003    0.001    0.003    0.001 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.003    0.003 _decoders.py:314(decode)
      122    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
        2    0.000    0.000    0.003    0.002 _types.py:1(<module>)
    19300    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.003    0.003 _common.py:17(files)
     1324    0.001    0.000    0.003    0.000 _compiler.py:396(_simple)
      862    0.002    0.000    0.003    0.000 contextlib.py:132(__enter__)
       13    0.000    0.000    0.003    0.000 dataclasses.py:599(_frozen_get_del_attr)
        1    0.000    0.000    0.003    0.003 _common.py:59(from_package)
        1    0.000    0.000    0.003    0.003 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.003    0.003 _adapters.py:151(_native)
        1    0.000    0.000    0.003    0.003 _adapters.py:146(_reader)
     5239    0.003    0.000    0.003    0.000 _parser.py:284(tell)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1136(get_resource_reader)
       20    0.001    0.000    0.003    0.000 __init__.py:348(namedtuple)
       48    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
       48    0.000    0.000    0.003    0.000 <frozen zipimport>:64(__init__)
     3470    0.003    0.000    0.003    0.000 element.py:1820(is_empty_element)
       23    0.000    0.000    0.003    0.000 dataclasses.py:528(_init_fn)
        1    0.000    0.000    0.003    0.003 _models.py:1249(__init__)
        2    0.000    0.000    0.003    0.002 cookies.py:1(<module>)
      481    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:71(__init__)
        2    0.000    0.000    0.003    0.002 subprocess.py:1(<module>)
      473    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
     1163    0.002    0.000    0.003    0.000 _compiler.py:214(_compile_charset)
     1254    0.002    0.000    0.003    0.000 _parser.py:307(_class_escape)
      345    0.001    0.000    0.003    0.000 _compiler.py:384(_mk_bitmap)
        1    0.000    0.000    0.003    0.003 pretty.py:1(<module>)
        2    0.000    0.000    0.003    0.001 __init__.py:629(version)
        1    0.000    0.000    0.003    0.003 sslproto.py:1(<module>)
        1    0.000    0.000    0.003    0.003 memory.py:1(<module>)
       29    0.000    0.000    0.003    0.000 dataclasses.py:588(_repr_fn)
        2    0.000    0.000    0.003    0.001 __init__.py:602(metadata)
       18    0.000    0.000    0.003    0.000 _functools.py:75(wrapper)
       10    0.000    0.000    0.003    0.000 __init__.py:821(lookup)
      122    0.000    0.000    0.003    0.000 _htmlparser.py:285(handle_comment)
