url: https://finance.yahoo.com/quote/MSFT/financials/?p=msft
Error check: 'NoneType' object has no attribute 'find'
end
('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         1098894 function calls (1070575 primitive calls) in 3.040 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 ssl.py:1(<module>)
        1    0.000    0.000    0.009    0.009 css_match.py:1(<module>)
        1    0.000    0.000    0.009    0.009 encoding.py:1(<module>)
        2    0.000    0.000    0.008    0.004 parse.py:1(<module>)
        1    0.000    0.000    0.008    0.008 packages.py:1(<module>)
   145/99    0.000    0.000    0.008    0.000 typing.py:476(__getitem__)
        1    0.000    0.000    0.008    0.008 initialise.py:1(<module>)
        1    0.000    0.000    0.008    0.008 header.py:1(<module>)
    18542    0.008    0.000    0.008    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.008    0.008 socket.py:1(<module>)
    13799    0.006    0.000    0.007    0.000 _parser.py:158(__len__)
        1    0.000    0.000    0.007    0.007 _htmlparser.py:1(<module>)
        2    0.000    0.000    0.007    0.004 __init__.py:1001(version)
     3470    0.007    0.000    0.007    0.000 __init__.py:786(popTag)
      216    0.001    0.000    0.007    0.000 typing.py:1346(__init__)
      177    0.004    0.000    0.007    0.000 _compiler.py:465(_get_charset_prefix)
3828/3784    0.006    0.000    0.007    0.000 {built-in method __new__ of type object at 0x00007FFB3C698F90}
      374    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:169(__enter__)
       99    0.001    0.000    0.007    0.000 typing.py:653(Union)
        1    0.000    0.000    0.007    0.007 frames.py:1(<module>)
    24580    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.007    0.007 ansitowin32.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _typing.py:1(<module>)
    30421    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
      313    0.007    0.000    0.007    0.000 {method '__exit__' of '_io._IOBase' objects}
      874    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        1    0.000    0.000    0.007    0.007 events.py:1(<module>)
     2544    0.005    0.000    0.007    0.000 __init__.py:91(_replace_charref)
     1852    0.006    0.000    0.006    0.000 __init__.py:906(_linkage_fixer)
        3    0.000    0.000    0.006    0.002 parser.py:59(parsestr)
     8600    0.004    0.000    0.006    0.000 _parser.py:170(append)
    20698    0.006    0.000    0.006    0.000 {method 'endswith' of 'str' objects}
     3823    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       36    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
       79    0.001    0.000    0.005    0.000 css_parser.py:472(parse_attribute_selector)
    13600    0.005    0.000    0.005    0.000 filter.py:259(_base_match)
        3    0.000    0.000    0.005    0.002 parser.py:41(parse)
      622    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       19    0.002    0.000    0.005    0.000 enum.py:1657(convert_class)
      329    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        2    0.000    0.000    0.005    0.003 cookies.py:124(extract_cookies_to_jar)
      550    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        2    0.000    0.000    0.005    0.003 cookiejar.py:1680(extract_cookies)
      341    0.001    0.000    0.005    0.000 css_parser.py:1108(selector_iter)
    10062    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
        8    0.000    0.000    0.005    0.001 feedparser.py:173(feed)
        6    0.000    0.000    0.005    0.001 parser.py:899(_compile)
        1    0.000    0.000    0.005    0.005 netrc.py:1(<module>)
       83    0.000    0.000    0.005    0.000 typing.py:1556(__getitem__)
     4659    0.002    0.000    0.005    0.000 {built-in method builtins.max}
       12    0.000    0.000    0.005    0.000 enum.py:890(_convert_)
     3185    0.002    0.000    0.004    0.000 _htmlparser.py:222(handle_data)
    20799    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.004    0.004 css_types.py:1(<module>)
      434    0.002    0.000    0.004    0.000 typing.py:168(_type_check)
        2    0.000    0.000    0.004    0.002 __init__.py:975(distribution)
        2    0.000    0.000    0.004    0.002 __init__.py:549(from_name)
     5940    0.003    0.000    0.004    0.000 element.py:2168(get)
11005/10937    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.004    0.004 staggered.py:1(<module>)
       36    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        5    0.000    0.000    0.004    0.001 six.py:95(__get__)
